epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,8188.91,1.2189,0.89338,1.25019,0.75072,0.63768,0.70777,0.42423,1.41095,0.99438,1.38787,0.002575,0.002575,0.002575
77,8300.74,1.21506,0.88854,1.24955,0.75099,0.6364,0.70664,0.42417,1.41036,0.99612,1.38655,0.002476,0.002476,0.002476
78,8412.66,1.21592,0.88895,1.24789,0.75393,0.63531,0.70674,0.42401,1.41052,0.99748,1.38647,0.002377,0.002377,0.002377
79,8523.55,1.21101,0.88269,1.24308,0.75128,0.63465,0.70516,0.42367,1.41099,0.9983,1.38709,0.002278,0.002278,0.002278
80,8633.8,1.20663,0.88077,1.24324,0.75357,0.6352,0.70499,0.42348,1.41058,0.99922,1.38564,0.002179,0.002179,0.002179
81,8744.28,1.19866,0.86928,1.2388,0.75216,0.63493,0.70497,0.42358,1.41119,0.99953,1.38489,0.00208,0.00208,0.00208
82,8857.01,1.20082,0.8644,1.23701,0.75537,0.63005,0.7039,0.42319,1.4107,1.00128,1.38451,0.001981,0.001981,0.001981
83,8969.07,1.191,0.86071,1.23205,0.7541,0.63051,0.70403,0.42323,1.41123,1.00218,1.38494,0.001882,0.001882,0.001882
84,9080.75,1.18902,0.86216,1.23261,0.75571,0.62721,0.70384,0.42353,1.41147,1.00341,1.38528,0.001783,0.001783,0.001783
85,9192.14,1.18682,0.863,1.23022,0.75682,0.62702,0.7032,0.42328,1.41202,1.00382,1.38577,0.001684,0.001684,0.001684
86,9305.07,1.18853,0.85062,1.22882,0.75776,0.62906,0.7038,0.42352,1.41209,1.00362,1.38531,0.001585,0.001585,0.001585
87,9417.24,1.18119,0.84855,1.22999,0.75745,0.62886,0.70447,0.42349,1.41226,1.00367,1.38556,0.001486,0.001486,0.001486
88,9530.07,1.1757,0.84731,1.22881,0.75243,0.63382,0.70413,0.42349,1.41286,1.00304,1.38606,0.001387,0.001387,0.001387
89,9638.33,1.17566,0.83983,1.22,0.75422,0.63309,0.70417,0.42296,1.41298,1.00264,1.3865,0.001288,0.001288,0.001288
90,9746.97,1.17754,0.84121,1.22178,0.75373,0.63254,0.70427,0.42295,1.41258,1.00267,1.38579,0.001189,0.001189,0.001189
91,9872.22,1.1357,0.73776,1.2108,0.75236,0.63125,0.70388,0.42299,1.41318,1.00285,1.38631,0.00109,0.00109,0.00109
92,9986.27,1.12291,0.72229,1.20618,0.75094,0.63199,0.70389,0.42334,1.41413,1.00228,1.38693,0.000991,0.000991,0.000991
93,10095.6,1.1127,0.71044,1.19669,0.74927,0.63143,0.70345,0.42338,1.41446,1.00294,1.38704,0.000892,0.000892,0.000892
94,10202.7,1.10617,0.70002,1.19557,0.74681,0.63439,0.70352,0.42337,1.41509,1.00266,1.38747,0.000793,0.000793,0.000793
95,10315.9,1.10005,0.69438,1.19045,0.74602,0.6323,0.70302,0.42306,1.4159,1.00351,1.38824,0.000694,0.000694,0.000694
96,10427.2,1.09963,0.69571,1.18903,0.74563,0.6307,0.70332,0.42326,1.41619,1.0042,1.38864,0.000595,0.000595,0.000595
97,10541.6,1.09064,0.68311,1.18671,0.75298,0.62758,0.70304,0.42279,1.41703,1.00559,1.38949,0.000496,0.000496,0.000496
98,10654,1.08263,0.68105,1.17983,0.75169,0.62647,0.70287,0.42252,1.41749,1.00616,1.39042,0.000397,0.000397,0.000397
99,10766.2,1.08606,0.68173,1.18199,0.75081,0.62757,0.70243,0.42228,1.41865,1.00767,1.39135,0.000298,0.000298,0.000298
100,10876.5,1.08083,0.67503,1.17867,0.75252,0.6249,0.70188,0.42205,1.41962,1.00846,1.39255,0.000199,0.000199,0.000199
