epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,6549.43,1.27173,0.97904,1.28008,0.55908,0.42582,0.45804,0.29497,1.42019,1.03833,1.39643,0.00406,0.00406,0.00406
62,6655.92,1.26684,0.96484,1.27844,0.59176,0.42259,0.46653,0.29809,1.41977,1.03004,1.3975,0.003961,0.003961,0.003961
63,6762.97,1.27111,0.96919,1.27978,0.56155,0.46374,0.47719,0.30122,1.4236,1.02502,1.39703,0.003862,0.003862,0.003862
64,6869.85,1.26024,0.95995,1.2758,0.57432,0.46386,0.47406,0.29996,1.41935,1.02959,1.39445,0.003763,0.003763,0.003763
65,6976.65,1.25203,0.95048,1.27253,0.55469,0.45274,0.46504,0.29335,1.42045,1.03022,1.39536,0.003664,0.003664,0.003664
66,7084.03,1.25197,0.94597,1.26939,0.54795,0.452,0.46338,0.29221,1.41984,1.03044,1.39293,0.003565,0.003565,0.003565
67,7192.35,1.25469,0.94507,1.27181,0.54848,0.42268,0.46413,0.29499,1.42278,1.03329,1.39545,0.003466,0.003466,0.003466
68,7299.93,1.24381,0.93342,1.26461,0.61503,0.41741,0.47241,0.30305,1.41776,1.03486,1.39482,0.003367,0.003367,0.003367
69,7406.58,1.24495,0.93992,1.26487,0.62082,0.38069,0.46898,0.30215,1.41722,1.03099,1.39487,0.003268,0.003268,0.003268
70,7514.55,1.2406,0.93404,1.26157,0.59747,0.38124,0.46416,0.29909,1.41675,1.03019,1.39428,0.003169,0.003169,0.003169
71,7621.87,1.24858,0.93701,1.26545,0.59371,0.37717,0.46088,0.29683,1.4157,1.02749,1.39222,0.00307,0.00307,0.00307
72,7727.48,1.23089,0.91735,1.25063,0.55677,0.41343,0.46136,0.29645,1.41664,1.029,1.39229,0.002971,0.002971,0.002971
73,7834.05,1.23249,0.91797,1.25989,0.64549,0.38827,0.46096,0.29695,1.41627,1.02825,1.39201,0.002872,0.002872,0.002872
74,7940.18,1.2174,0.90354,1.2468,0.58534,0.42424,0.45853,0.29458,1.41576,1.02631,1.39201,0.002773,0.002773,0.002773
75,8046.32,1.21693,0.91665,1.25264,0.60637,0.42179,0.46645,0.29527,1.41547,1.02475,1.39104,0.002674,0.002674,0.002674
76,8153.68,1.21936,0.90547,1.24784,0.60333,0.39682,0.47172,0.29679,1.41557,1.02341,1.39079,0.002575,0.002575,0.002575
77,8261.14,1.21399,0.90254,1.24804,0.61456,0.39567,0.47131,0.29689,1.41519,1.02474,1.39031,0.002476,0.002476,0.002476
78,8368.57,1.2169,0.90195,1.24679,0.63941,0.38087,0.47614,0.30079,1.41412,1.02313,1.38938,0.002377,0.002377,0.002377
79,8475.64,1.20746,0.89544,1.24199,0.62592,0.38886,0.48078,0.30843,1.41505,1.02361,1.39016,0.002278,0.002278,0.002278
80,8582.67,1.20565,0.89304,1.24249,0.61759,0.38716,0.48021,0.31054,1.41732,1.0234,1.39149,0.002179,0.002179,0.002179
81,8689.31,1.20018,0.87997,1.23867,0.49261,0.46782,0.47975,0.30989,1.41707,1.02413,1.39129,0.00208,0.00208,0.00208
82,8795.84,1.20029,0.87723,1.23652,0.5522,0.45107,0.48206,0.3118,1.41636,1.02432,1.39115,0.001981,0.001981,0.001981
83,8902.94,1.19168,0.87575,1.23082,0.56238,0.44774,0.482,0.31125,1.4161,1.02349,1.3908,0.001882,0.001882,0.001882
84,9009.91,1.19024,0.87241,1.23168,0.56739,0.44682,0.48357,0.30841,1.41635,1.0231,1.39084,0.001783,0.001783,0.001783
85,9117.25,1.19001,0.87395,1.23028,0.56497,0.44938,0.48596,0.31096,1.41603,1.02399,1.39031,0.001684,0.001684,0.001684
86,9223.61,1.19083,0.86594,1.23097,0.5717,0.44511,0.48639,0.3111,1.41668,1.02541,1.39058,0.001585,0.001585,0.001585
87,9330.57,1.18379,0.86384,1.23026,0.56935,0.44737,0.48518,0.31064,1.41703,1.02618,1.39095,0.001486,0.001486,0.001486
88,9437.67,1.17751,0.85774,1.22821,0.5667,0.46363,0.48648,0.31155,1.41722,1.02694,1.39149,0.001387,0.001387,0.001387
89,9544.61,1.17663,0.84949,1.21937,0.55621,0.4778,0.4859,0.31135,1.41743,1.02707,1.39188,0.001288,0.001288,0.001288
90,9651.54,1.17962,0.85107,1.22192,0.53407,0.48483,0.48661,0.31187,1.4174,1.02787,1.39151,0.001189,0.001189,0.001189
91,9776.97,1.14011,0.74985,1.21092,0.54139,0.47531,0.48769,0.31262,1.41787,1.02828,1.3918,0.00109,0.00109,0.00109
92,9882.1,1.12317,0.73065,1.20619,0.53884,0.46707,0.48824,0.31102,1.41757,1.02769,1.39149,0.000991,0.000991,0.000991
93,9987.33,1.11399,0.72096,1.19911,0.5731,0.46303,0.49021,0.31217,1.4173,1.02698,1.39163,0.000892,0.000892,0.000892
94,10092.5,1.10904,0.70976,1.19755,0.57671,0.45566,0.48962,0.31005,1.4176,1.0269,1.39199,0.000793,0.000793,0.000793
95,10198,1.09987,0.70141,1.19002,0.57712,0.4532,0.48927,0.30964,1.41803,1.02708,1.39239,0.000694,0.000694,0.000694
96,10303.7,1.10368,0.70385,1.18871,0.61314,0.45873,0.49069,0.31034,1.41817,1.02791,1.39247,0.000595,0.000595,0.000595
97,10409.4,1.09291,0.69073,1.18692,0.61459,0.45857,0.49093,0.31089,1.41853,1.02853,1.39311,0.000496,0.000496,0.000496
98,10515,1.08199,0.68852,1.17947,0.61738,0.45982,0.4932,0.31262,1.41896,1.02943,1.39366,0.000397,0.000397,0.000397
99,10621.1,1.08691,0.68659,1.18083,0.6116,0.46069,0.49326,0.31274,1.419,1.02989,1.39389,0.000298,0.000298,0.000298
100,10726.6,1.07971,0.68227,1.17853,0.6142,0.45957,0.49351,0.31294,1.41898,1.03054,1.3943,0.000199,0.000199,0.000199
